id;creation_date;acceptance;denial;acceptance_denial_date
1;2019-10-04T02:19:22;true;false;2019-10-04T17:53:37
2;2019-10-04T07:32:21;false;true;2019-10-03T23:48:25
3;2019-10-04T10:03:14;true;true;2019-10-04T17:07:08
4;2019-10-04T17:34:27;true;false;2019-10-04T00:12:32
5;2019-10-04T01:50:45;true;true;2019-10-04T02:11:44
6;2019-10-04T08:11:04;false;false;2019-10-04T16:41:09
7;2019-10-04T14:59:52;true;true;2019-10-04T03:03:33
8;2019-10-04T01:50:54;true;true;2019-10-04T13:40:14
9;2019-10-04T04:39:43;true;true;2019-10-04T02:57:24
10;2019-10-04T21:21:34;true;false;2019-10-04T04:31:51
