id;creation_date;room_name;room_description;private_room;image;image_content_type
1;2019-10-04T22:53:02;Producer;Implementation Electronics Officer;true;../fake-data/blob/hipster.png;image/png
2;2019-10-04T16:04:34;Albania web-readiness;Namibia;false;../fake-data/blob/hipster.png;image/png
3;2019-10-04T20:01:48;zero administration;Multi-channelled Licensed;true;../fake-data/blob/hipster.png;image/png
4;2019-10-04T18:35:09;Cambridgeshire Mississippi;HDD;true;../fake-data/blob/hipster.png;image/png
5;2019-10-04T19:17:07;Small Frozen Sausages Planner;envisioneer Music Public-key;false;../fake-data/blob/hipster.png;image/png
6;2019-10-04T12:48:52;Rubber Buckinghamshire Games;incentivize Tuna copy;false;../fake-data/blob/hipster.png;image/png
7;2019-10-04T10:53:47;Mayotte;Industrial;true;../fake-data/blob/hipster.png;image/png
8;2019-10-04T04:46:30;Markets Chief;capacitor archive;true;../fake-data/blob/hipster.png;image/png
9;2019-10-04T18:40:28;Tasty Plastic Pizza scale;South Georgia and the South Sandwich Islands;true;../fake-data/blob/hipster.png;image/png
10;2019-10-04T14:48:57;mission-critical Faroe Islands Plastic;Car Industrial deliverables;false;../fake-data/blob/hipster.png;image/png
